Item_Number,Set_Name,Theme,Pieces,Price,Amazon_Price,Year,Ages,Pages,Minifigures,Packaging,Weight,Unique_Pieces,Availability,Size
10859,My First Ladybird,DUPLO®,6,$4.99 ,$16.00 ,2018,Ages_1½-3,9,NA,Box,NA,5,Retail,Large
10860,My First Race Car,DUPLO®,6,$4.99 ,$9.45 ,2018,Ages_1½-3,9,NA,Box,0.13Kg (0.29 lb),6,Retail,Large
10862,My First Celebration,DUPLO®,41,$14.99 ,$39.89 ,2018,Ages_1½-3,9,NA,Box,NA,18,NA,Large
10864,Large Playground Brick Box,DUPLO®,71,$49.99 ,$56.69 ,2018,Ages_2-5,32,2,Plastic box,1.41Kg (3.11 lb),49,NA,Large
10867,Farmers' Market,DUPLO®,26,$19.99 ,$36.99 ,2018,Ages_2-5,9,3,Box,NA,18,NA,Large
10870,Farm Animals,DUPLO®,16,$9.99 ,$9.99 ,2018,Ages_2-5,8,NA,Box,NA,13,NA,Large
10872,Train Bridge and Tracks,DUPLO®,26,$24.99 ,$21.99 ,2018,Ages_2-5,16,1,Box,0.88Kg (1.95 lb),10,Retail,Large
10875,Cargo Train,DUPLO®,105,$119.99 ,$128.95 ,2018,Ages_2-5,64,3,Box,2.86Kg (6.31 lb),68,Retail,Large
10876,Spider-Man & Hulk Adventures,DUPLO®,38,$29.99 ,$74.50 ,2018,Ages_2-5,20,3,Box,0.54Kg (1.19 lb),29,NA,Large
10878,Rapunzel's Tower,DUPLO®,37,$29.99 ,$98.99 ,2018,Ages_2-5,24,1,Box,NA,26,NA,Large
10882,Train Tracks,DUPLO®,23,$19.99 ,$17.99 ,2018,Ages_2-5,16,NA,Box,0.66Kg (1.45 lb),9,Retail,Large
10885,My First Fun Puzzle,DUPLO®,15,$19.99 ,$19.55 ,2019,Ages_1½+,9,NA,NA,NA,15,NA,Large
10886,My First Car Creations,DUPLO®,34,$19.99 ,$16.00 ,2019,Ages_1½+,10,NA,NA,0.64Kg (1.41 lb),31,NA,Large
10901,Fire Truck,DUPLO®,21,$19.99 ,$17.99 ,2019,Ages_2+,10,2,Box,0.45Kg (0.99 lb),16,Retail,Large
10904,Baby Animals,DUPLO®,9,$9.99 ,$21.11 ,2019,Ages_2+,8,NA,Box,NA,9,Retail,Large
10906,Tropical Island,DUPLO®,73,$59.99 ,$59.99 ,2019,Ages_2+,40,3,Box,NA,44,Retail,Large
10908,Plane,DUPLO®,12,$9.99 ,$23.27 ,2019,Ages_2+,10,1,Box,NA,11,Retail,Large
10910,Submarine Adventure,DUPLO®,24,$19.99 ,$17.99 ,2019,Ages_2+,8,2,Box,NA,22,Retail,Large
10915,Alphabet Truck,DUPLO®,36,$24.99 ,$21.99 ,2020,Ages_1½+,1,2,Box,NA,35,Retail,Large
10918,Tow Truck,DUPLO®,7,$6.99 ,$6.29 ,2020,Ages_1½+,3,NA,Box with backing card,NA,7,Retail,Large
10921,Super Heroes Lab,DUPLO®,30,$29.99 ,$26.99 ,2020,Ages_2+,16,3,Box,NA,23,Retail,Large
10926,Bedroom,DUPLO®,16,$14.99 ,$14.99 ,2020,Ages_2+,2,2,Box,NA,16,Retail,Large
10927,Pizza Stand,DUPLO®,18,$9.99 ,$8.99 ,2020,Ages_2+,12,1,Box,NA,15,Retail,Large
10928,Bakery,DUPLO®,46,$34.99 ,$29.99 ,2020,Ages_2+,20,2,Box,NA,33,Retail,Large
10929,Modular Playhouse,DUPLO®,129,$59.99 ,$59.99 ,2020,Ages_2+,84,3,Box,NA,56,Retail,Large
41330,Stephanie's Soccer Practice,Friends,119,$14.99 ,$40.40 ,2018,Ages_6-12,48,1,Box,NA,78,Retail,Small
41333,Olivia's Mission Vehicle,Friends,223,$19.99 ,$45.95 ,2018,Ages_6-12,84,1,Box,0.32Kg (0.7 lb),106,Retail,Small
41335,Mia's Tree House,Friends,351,$29.99 ,$53.88 ,2018,Ages_6-12,120,2,Box,0.61Kg (1.34 lb),151,Retail,Small
41340,Friendship House,Friends,722,$69.99 ,$184.99 ,2018,Ages_6-12,164,3,Box,1.14Kg (2.51 lb),309,Retail,Small
41353,Friends Advent Calendar,Friends,500,$29.99 ,$34.00 ,2018,Ages_6-12,4,NA,Box,NA,202,Retail,Small
41356,Stephanie's Heart Box,Friends,85,$7.99 ,$14.99 ,2019,Ages_6+,32,1,NA,0.13Kg (0.29 lb),36,NA,Small
41358,Mia's Heart Box,Friends,83,$7.99 ,$18.64 ,2019,Ages_6+,32,1,NA,0.14Kg (0.31 lb),38,NA,Small
41363,Mia's Forest Adventures ,Friends,134,$14.99 ,$18.95 ,2019,Ages_6+,44,1,NA,0.15Kg (0.33 lb),77,NA,Small
41367,Stephanie's Obstacle Course,Friends,337,$39.99 ,$35.99 ,2019,Ages_6+,100,2,NA,0.59Kg (1.3 lb),168,NA,Small
41369,Mia's House,Friends,715,$69.99 ,$62.99 ,2019,Ages_6+,192,3,NA,1.12Kg (2.47 lb),274,NA,Small
41374,Andrea's Pool Party,Friends,468,$49.99 ,$40.00 ,2019,Ages_6+,112,2,Box,NA,221,Retail,Small
41376,Turtles Rescue Mission,Friends,225,$19.99 ,$31.27 ,2019,Ages_6+,72,2,Box,NA,125,Retail,Small
41378,Dolphins Rescue Mission,Friends,363,$39.99 ,$31.67 ,2019,Ages_6+,116,2,Box,NA,192,Retail,Small
41384,Andrea's Summer Heart Box,Friends,83,$7.99 ,$14.99 ,2019,Ages_6+,36,1,Other,NA,46,Retail,Small
41387,Olivia's Summer Heart Box,Friends,93,$7.99 ,$7.99 ,2019,Ages_6+,40,2,Other,NA,48,Retail,Small
41394,Heartlake City Hospital,Friends,379,$49.99 ,$48.53 ,2020,Ages_6+,132,3,Box,NA,154,Retail,Small
41396,Puppy Playground,Friends,57,$9.99 ,$8.99 ,2020,Ages_4+,40,1,Box,NA,41,Retail,Small
41400,Andrea's Play Cube - Singer,Friends,49,$9.99 ,$18.93 ,2020,Ages_6+,5,1,Box,NA,32,Retail,Small
41403,Mia's Play Cube - Veterinarian,Friends,40,$9.99 ,$17.97 ,2020,Ages_6+,5,1,Box,NA,32,Retail,Small
41408,Mia's Play Cube - Cinema,Friends,37,$9.99 ,$15.32 ,2020,Ages_6+,5,1,Box,NA,31,Retail,Small
41421,Baby Elephant Jungle Rescue,Friends,203,$19.99 ,$19.99 ,2020,Ages_6+,68,2,Box,NA,111,Retail,Small
41423,Tiger Hot Air Balloon Jungle Rescue,Friends,302,$39.99 ,$39.95 ,2020,Ages_7+,116,2,Box,NA,145,Retail,Small
41424,Jungle Rescue Base,Friends,648,$79.99 ,$79.95 ,2020,Ages_8+,176,3,Box,NA,251,Retail,Small
