Name,Subject,Sub-themes,Licensed,Produced,Notes
Lego 4+,For children 4 years old or more,"Pirates
City
Spider-Man","Lego, various",2003–2004,
Lego Adventurers,Adventurers and exploration,"Egypt (1998–1999, 2001)
Jungle / Amazon (1999)
Dino Island (2000)
Orient expedition (2003)",Lego,"1998–2001, 2003",
Lego Agents,Agents,,Lego,2008–2009,
Lego Alpha Team,Secret agents,"Mission Deep Sea (2002–2003)
Mission Deep Freeze (2004–2005)",Lego,2001–2005,
Lego The Angry Birds Movie,The Angry Birds Movie,,"Columbia Pictures, Rovio Animation,
Sony Pictures",2016,
Lego Aqua Raiders,Underwater exploration,,Lego,2007,
Lego Aquazone,Underwater exploration,"Aquanauts (1995–1996)
Aquasharks (1995–1996, 1998)
Aquaraiders (1997)
Stingrays (1998)
Hydronauts (1998–1999)",Lego,1995–1999,
Lego Atlantis,Underwater exploration,,Lego,2010–2011,
Lego Avatar: The Last Airbender,Avatar: The Last Airbender,,"Nickelodeon, Viacom",2006,
Lego Baby,Lego sets designed for babies,,Lego,"1983–1990,
2000–2001,
2004–2005",
Lego Batman,Batman,,"DC Comics,
Warner Bros.",2006–2008,
Lego Belville,Specifically girl-oriented design,,Lego,1994–2008,
Lego Ben 10: Alien Force,Ben 10: Alien Force,,Cartoon Network,2010,
Lego Bionicle,Māori-inspired biomechanical beings,,Lego,"2001–2010,
2015–2016",
Lego Boats,Lego builds that float on water,,Lego,1973–2005,
Lego Bricks and More,For children 4 years old or more,,Lego,2009–2014,
Lego Cars,Cars (franchise),"Cars (film)
Cars 2
Cars 3","Pixar, Disney","2010–2012, 2017",
Lego Castle,"Castle, knights and medieval themes","Castle (1978–1983)
Crusaders (1984–1988, 1990–1992, 1998, 2001)
Black Falcons (1984–1987, 1990, 2002)
Forestmen (1987–1990)
Black Knights (1988–1994, 1998)
Wolfpack (1992–1994)
Dragon Masters (1993–1994, 1998)
Royal Knights (1995–1996, 1998)
Dark Forest (1996)
Fright Knights (1997–1998)
Knights' Kingdom (2000)
Knights' Kingdom II (2004–2006)
Castle II (2007–2009)
Kingdoms (2010–2012)
Castle III (2013–2014)",Lego,1978–2014,
Lego Clikits,Girl's jewellery,,Lego,2003–2006,
Lego Creative building,For children 4 years old or more,,Lego,2006–2008,
Lego Dacta,Education,"Duplo
Technic",Lego,1960–2003,
Lego DC Super Hero Girls,DC Super Hero Girls,,"DC Comics,
Warner Bros.",2016–2018,
"Lego Factory /
Lego Design byME","Service that allowed fans to design their own Lego sets on a program, and then order the set from Lego",,Lego,"2005–2008
(as Factory)
2009–2012 (as Design byME)",
Lego Dimensions,Toys-to-life,"Adventure Time
The A-Team
Back to the Future
Beetlejuice
DC Comics
Doctor Who
E.T. the Extra-Terrestrial
Fantastic Beasts and Where to Find Them
Ghostbusters (1984)
Ghostbusters (2016)
The Goonies
Gremlins
Harry Potter
Jurassic World
Knight Rider
Legends of Chima
The Lego Batman Movie
Lego City
The Lego Movie
The Lord of the Rings
Midway Arcade
Mission: Impossible
Ninjago
Portal 2
The Powerpuff Girls
Scooby-Doo
The Simpsons
Sonic the Hedgehog
Teen Titans Go!
The Wizard of Oz","Lego, TT Games,
20th Century Fox, Amblin Entertainment,
BBC,
Cartoon Network, Columbia Pictures,
DC Comics,
Ghost Corps,
Hanna-Barbera, Middle-earth Enterprises,
Midway Games,
New Line Cinema, Paramount Pictures,
Sega, Sony Pictures,
Universal Pictures, Valve, Warner Bros.",2015–2017,
Lego Dino,Dinosaurs,,Lego,2011–2012,
"Lego Dino Attack /
Lego Dino 2010",Dinosaurs. Released in the United States and Australia as Dino Attack. Released in Europe as Dino 2010 with modified builds,,Lego,2005,
Lego Dinosaurs,Dinosaurs,,Lego,2001,
Lego Discovery,Discovery Channel,,Discovery Channel,2003,
Lego Elves,Elves,,Lego,2015–2018,
